marca,modelo,cod_fipe,Combus,novo_g,med16g,med15g,med14g,med13g,med12g,med11g,med10g,med09g,med08g,med07g,med06g,med05g,med04g,med03g,med02g,med01g,med00g,med99g,med98g,med97g,med96g,med95g,med94g,med93g,med92g,med91g,med90g,med89g,med88g,med87g,med86g,med85g,num_passag
Acura,Integra GS 1.8,038003-2,GGG,,,,,,,,,,,,,,,,,,,,,,,,,,13361,12400,,,,,,,00005
Acura,Legend 3.2/3.5,038002-4,GGG,,,,,,,,,,,,,,,,,,,,30212,26379,25409,23274,20622,18345,17160,16384,,,,,,,00005
Acura,NSX 3.0,038001-6,GGG,,,,,,,,,,,,,,,,,,,,,,,48010,46175,44625,43122,40835,,,,,,,00002
Agrale,MARRUÁ 2.8 12V 132cv TDI Diesel,060001-6,DDD,,,,,,,,,,,56593,53863,47853,43823,,,,,,,,,,,,,,,,,,,,00004
Agrale,MARRUÁ AM 100 2.8  CS TDI Diesel,060003-2,DDD,150382,,130192,121448,115382,103311,78319,60117,54288,50599,,,,,,,,,,,,,,,,,,,,,,,,00003
Agrale,MARRUÁ AM 100 2.8 CD TDI Diesel,060004-0,DDD,162191,,140654,132053,121960,113085,102029,69297,64449,59750,57658,,,,,,,,,,,,,,,,,,,,,,,00006
Agrale,MARRUÁ AM 150 2.8  CS TDI Diesel,060005-9,DDD,158703,,133930,125560,117736,107256,89707,66420,61669,58393,,,,,,,,,,,,,,,,,,,,,,,,00003
Agrale,MARRUÁ AM 150 2.8 CD TDI Diesel,060006-7,DDD,176186,,144835,136259,129089,123844,94304,69854,67557,65394,,,,,,,,,,,,,,,,,,,,,,,,00006
Agrale,MARRUÁ AM 200 2.8  CD TDI Diesel,060008-3,DDD,181100,,145750,137160,130742,124650,97478,81599,78544,75923,,,,,,,,,,,,,,,,,,,,,,,,00006
Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,060007-5,DDD,159781,,135218,127765,119254,107905,89828,68242,65634,59961,57714,,,,,,,,,,,,,,,,,,,,,,,00003
Agrale,MARRUÁ AM 50 2.8 140CV TDI Diesel,060002-4,DDD,,,,,,,83969,80099,72915,65619,,,,,,,,,,,,,,,,,,,,,,,,00005
Alfa Romeo,145 Elegant 1.7/1.8 16V,006009-7,GGG,,,,,,,,,,,,,,,,,,,14280,13855,10013,8490,,,,,,,,,,,,00005
Alfa Romeo,145 Elegant 2.0 16V,006001-1,GGG,,,,,,,,,,,,,,,,,,,,13283,12222,11841,10110,,,,,,,,,,,00005
Alfa Romeo,145 Quadrifoglio 2.0,006002-0,GGG,,,,,,,,,,,,,,,,,,,15620,15132,13287,12520,,,,,,,,,,,,00005
Alfa Romeo,145 QV,006008-9,GGG,,,,,,,,,,,,,,,,,,,,14667,13214,12746,,,,,,,,,,,,00005
Alfa Romeo,147 2.0 16V 148cv 4p Semi-Aut.,006017-8,GGG,,,,,,,,,,,,,54823,46950,36451,,,,,,,,,,,,,,,,,,,00005
Alfa Romeo,155,006003-8,GGG,,,,,,,,,,,,,,,,,,,,,14176,12682,11297,,,,,,,,,,,00005
Alfa Romeo,155 Super,006004-6,GGG,,,,,,,,,,,,,,,,,,,,,15397,14433,12969,,,,,,,,,,,00005
Alfa Romeo,156 2.5 V6 24V 190cv 4p Aut.,006015-1,GGG,,,,,,,,,,,,,,,48975,,,,27482,,,,,,,,,,,,,,,00005
Alfa Romeo,156 Sport Wagon 2.0 16V,006014-3,GGG,,,,,,,,,,,,,,,,26410,25562,,,,,,,,,,,,,,,,,00005
Alfa Romeo,156 SportWagon 2.5 V6 24V 190cv 4p Aut.,006016-0,GGG,,,,,,,,,,,,,,42083,37447,,,,,,,,,,,,,,,,,,,00005
Alfa Romeo,156 TS/Sport/Elegant 2.0 16V,006010-0,GGG,,,,,,,,,,,,,,,,27621,23631,21115,20322,,,,,,,,,,,,,,,00005
Alfa Romeo,164 3.0 V6,006005-4,GGG,,,,,,,,,,,,,,,,,,,,,,13171,12620,12220,8456,8126,7880,,,,,,,00005
Alfa Romeo,164 Super V6 24V,006006-2,GGG,,,,,,,,,,,,,,,,,,,,,,16729,15808,,,,,,,,,,,00005
Alfa Romeo,166 3.0 V6 24V,006011-9,GGG,,,,,,,,,,,,,,,53339,46975,38540,36998,35869,,,,,,,,,,,,,,,00005
Alfa Romeo,2300 TI/TI-4,006013-5,GGG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7648,6380,00005
Alfa Romeo,Spider 2.0/3.0,006007-0,GGG,,,,,,,,,,,,,,,,,,,,,64183,61843,46130,,21752,19248,15858,,,,,,,00002
AM Gen,Hummer Hard-Top 6.5 4x4 Diesel TB,037001-0,DDD,,,,,,,,,,,,,,,,,,265243,222911,210063,,,,,,,,,,,,,,00004
AM Gen,Hummer Open-Top 6.5 4x4 Diesel TB,037002-9,DDD,,,,,,,,,,,,,,,,,,254841,213733,183594,,,,,,,,,,,,,,00004
AM Gen,Hummer Wagon 6.5 4x4 Diesel TB,037003-7,DDD,,,,,,,,,,,,,,,,,,310543,251036,221993,,,,,,,,,,,,,,00004
Asia Motors,AM-825 Luxo 4.0 Diesel,007018-1,DDD,,,,,,,,,,,,,,,,,,,,27997,25073,23410,21997,20561,,,,,,,,,,00024
Asia Motors,AM-825 Super Luxo 4.0 Diesel,007019-0,DDD,,,,,,,,,,,,,,,,,,,,32922,25975,24981,24094,22903,,,,,,,,,,00024
Asia Motors,Hi-Topic SLX/SDX/DLX Full Diesel,007001-7,DDD,,,,,,,,,,,,,,,,,,,,18448,16466,15442,14974,13815,11437,,,,,,,,,00016
Asia Motors,Hi-Topic STD Diesel,007002-5,DDD,,,,,,,,,,,,,,,,,,,,16345,15796,15034,13652,12583,11317,,,,,,,,,00016
Asia Motors,Hi-Topic Van 2.7 Diesel (furgão),007017-3,DDD,,,,,,,,,,,,,,,,,,,,,14291,13444,12884,10006,,,,,,,,,,00003
Asia Motors,Jipe Rocsta GT 4x4 2.2 Diesel,007020-3,DDD,,,,,,,,,,,,,,,,,,,,,,,22599,21619,,,,,,,,,,00004
Asia Motors,Topic Carga 2.7 Diesel (furgão),007016-5,DDD,,,,,,,,,,,,,,,,,,,18866,15671,14204,,,,,,,,,,,,,00003
Asia Motors,Topic Luxo Diesel,007014-9,DDD,,,,,,,,,,,,,,,,,,,19304,16461,15822,,,,,,,,,,,,,00016
Asia Motors,Topic Super Luxo Diesel,007015-7,DDD,,,,,,,,,,,,,,,,,,,19835,17824,16939,15804,,,,,,,,,,,,00016
Asia Motors,Towner Coach Full,007003-3,GGG,,,,,,,,,,,,,,,,,,,,7304,6391,5733,5407,,,,,,,,,,,00007
Asia Motors,Towner Furgão,007009-2,GGG,,,,,,,,,,,,,,,,,,,5432,5066,4838,4587,4273,3895,,,,,,,,,,00002
Asia Motors,Towner Glass Van,007004-1,GGG,,,,,,,,,,,,,,,,,,,,5181,4880,4623,4450,4043,3916,,,,,,,,,00002
Asia Motors,Towner Luxo,007012-2,GGG,,,,,,,,,,,,,,,,,,,5898,5711,5501,,,,,,,,,,,,,00007
Asia Motors,Towner Multiuso 5p,007011-4,GGG,,,,,,,,,,,,,,,,,,,4547,4234,3998,,,,,,,,,,,,,00002
Asia Motors,Towner Panel Van,007005-0,GGG,,,,,,,,,,,,,,,,,,,,3954,3743,3567,3329,2751,,,,,,,,,,00002
Asia Motors,Towner Pick-Up,007008-4,GGG,,,,,,,,,,,,,,,,,,,5209,4896,4676,,,,,,,,,,,,,00002
Asia Motors,Towner SDX / DLX/ Std.,007006-8,GGG,,,,,,,,,,,,,,,,,,,,7170,6944,6480,6271,5296,4979,,,,,,,,,00007
Asia Motors,Towner Super Luxo,007013-0,GGG,,,,,,,,,,,,,,,,,,,7969,7026,6808,,,,,,,,,,,,,00007
Asia Motors,Towner Truck,007007-6,GGG,,,,,,,,,,,,,,,,,,,,6499,6200,5963,5670,5137,4854,,,,,,,,,00002
ASTON MARTIN,DB9 Coupe 6.0 V12 510cv,085011-0,GGG,1387539,,,1100609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00004
ASTON MARTIN,DB9 Volante 6.0 V12 470cv,085006-3,GGG,,,,,,,712990,,,,,,,,,,,,,,,,,,,,,,,,,,,00002
ASTON MARTIN,Rapide 6.0 V12 477cv,085007-1,GGG,,,,,,887186,,,,,,,,,,,,,,,,,,,,,,,,,,,,00004
ASTON MARTIN,Rapide S 6.0 V12 550cv,085009-8,GGG,1448952,,,1248243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00002
ASTON MARTIN,Vanquish V12 6.0 565cv,085010-1,GGG,2499850,2222055,,1560870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00004
ASTON MARTIN,Vantage 6.0 V12 510cv,085004-7,GGG,,,,,,712308,,,,,,,,,,,,,,,,,,,,,,,,,,,,00002
ASTON MARTIN,Vantage Coupe 4.7 V8 425cv,085002-0,GGG,799000,,,730168,,540596,393589,,,,,,,,,,,,,,,,,,,,,,,,,,,00002
ASTON MARTIN,Vantage Roadster 4.7 V8 420cv,085003-9,GGG,,,,,,,494352,,,,,,,,,,,,,,,,,,,,,,,,,,,00002
ASTON MARTIN,Vantage S 6.0 V12 565cv,085008-0,GGG,1500000,1343250,1112938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00004
ASTON MARTIN,Vantage S Coupe 4.7 V8 430cv,085001-2,GGG,,,,,,542693,,,,,,,,,,,,,,,,,,,,,,,,,,,,00002
ASTON MARTIN,Virage Coupe 6.0 V12 490cv,085005-5,GGG,,,,,,738502,,,,,,,,,,,,,,,,,,,,,,,,,,,,00002
Audi,100 2.8 V6,008030-6,GGG,,,,,,,,,,,,,,,,,,,,,,,15166,12829,12397,,,,,,,,,00005
Audi,100 2.8 V6 Avant,008076-4,GGG,,,,,,,,,,,,,,,,,,,,,,,17746,14090,,,,,,,,,,00005
Audi,100 S-4 2.2 Avant Turbo,008031-4,GGG,,,,,,,,,,,,,,,,,,,,,,,18515,17362,,,,,,,,,,00005
Audi,80 2.0,008001-2,GGG,,,,,,,,,,,,,,,,,,,,,,,12923,10929,,,,,,,,,,00005
Audi,80 2.0 Avant,008077-2,GGG,,,,,,,,,,,,,,,,,,,,,,,13910,13289,,,,,,,,,,00005
Audi,80 2.6/ 2.8,008080-2,GGG,,,,,,,,,,,,,,,,,,,,,,,15638,13561,,,,,,,,,,00005
Audi,80 2.6/2.8 Avant,008002-0,GGG,,,,,,,,,,,,,,,,,,,,,,19011,17925,17289,,,,,,,,,,00005
Audi,80 2.8 Cabriolet,008003-9,GGG,,,,,,,,,,,,,,,,,,,49739,47346,42810,40451,39200,33553,,,,,,,,,,00004
Audi,80 S2 Avant,008004-7,GGG,,,,,,,,,,,,,,,,,,,,,,,21439,16640,,,,,,,,,,00005
Audi,A1 1.4 TFSI 122cv S-tronic 3p,008153-1,GGG,,,,78009,67348,58572,55139,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A1 2.0 TFSI Quattro 256cv 3p,008177-9,GGG,,,,,177204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A1 Sport 1.4 TFSI 185cv 3p S-tronic,008172-8,GGG,,,,80572,75519,67915,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A1 Sportback 1.4 TFSI 182cv 5p S-tronic,008174-4,GGG,113256,,95381,90339,78540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A1 Sportback 1.4 TFSI 5p S-tronic,008173-6,GGG,103751,91317,83679,75156,68058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A1 Sportback 1.8 TFSI 192cv 5p S-tronic,008204-0,GGG,115916,101927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A3 1.6 3p,008032-2,GGG,,,,,,,,,,,,,,,20789,19754,19054,17343,16556,,,,,,,,,,,,,,,00005
Audi,A3 1.6 3p Aut,008056-0,GGG,,,,,,,,,,,,,,,20990,19779,19112,18338,16865,,,,,,,,,,,,,,,00005
Audi,A3 1.6 5p,008040-3,GGG,,,,,,,,,,,,25354,23249,22075,21321,19878,19112,17914,17301,,,,,,,,,,,,,,,00005
Audi,A3 1.6 5p Aut,008057-8,GGG,,,,,,,,,,,,,,,21358,20251,19646,19031,17998,,,,,,,,,,,,,,,00005
Audi,A3 1.6 8V 102cv 3p,008116-7,GGG,,,,,,,,,,,38467,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A3 1.8 3p,008005-5,GGG,,,,,,,,,,,,,,21623,19826,18598,17670,17141,16525,15781,14741,,,,,,,,,,,,,00005
Audi,A3 1.8 3p Aut.,008043-8,GGG,,,,,,,,,,,,,,22085,19989,19197,17784,17221,16607,15960,15206,,,,,,,,,,,,,00005
Audi,A3 1.8 5p Aut.,008042-0,GGG,,,,,,,,,,,,27407,23773,22182,20561,19904,19271,18700,17963,16993,16272,,,,,,,,,,,,,00005
Audi,A3 1.8 5p Mec.,008041-1,GGG,,,,,,,,,,,,26003,23018,20633,19937,19325,18721,18108,16711,16191,14715,,,,,,,,,,,,,00005
Audi,A3 1.8 Turbo 180cv 3p Aut./ Tip.,008073-0,GGG,,,,,,,,,,,,,,,23376,21444,,,,,,,,,,,,,,,,,,00005
Audi,A3 1.8 Turbo 180cv 3p Mec.,008074-8,GGG,,,,,,,,,,,,,,23302,22551,19476,18670,17333,,,,,,,,,,,,,,,,00005
Audi,A3 1.8 Turbo 180cv 5p Aut./ Tip.,008071-3,GGG,,,,,,,,,,,,30600,26297,24540,23720,21665,,,,,,,,,,,,,,,,,,00005
Audi,A3 1.8 Turbo 180cv 5p Mec.,008072-1,GGG,,,,,,,,,,,,28806,25047,23985,23265,21410,20610,18788,,,,,,,,,,,,,,,,00005
Audi,A3 1.8 Turbo 3p Aut.,008046-2,GGG,,,,,,,,,,,,,,,22043,19401,18698,18121,17583,16709,15863,,,,,,,,,,,,,00005
Audi,A3 1.8 Turbo 3p Mec.,008006-3,GGG,,,,,,,,,,,,,,23387,21398,18964,18398,17801,17257,16520,15740,,,,,,,,,,,,,00005
Audi,A3 1.8 Turbo 5p Aut.,008045-4,GGG,,,,,,,,,,,,27320,25005,23425,21744,20374,19334,18740,17801,17255,,,,,,,,,,,,,,00005
Audi,A3 1.8 Turbo 5p Mec.,008044-6,GGG,,,,,,,,,,,,26958,24491,23265,21405,20185,19076,17945,17046,,,,,,,,,,,,,,,00005
Audi,A3 Cabriolet 1.8 16V TFSI 180cv S-tronic,008195-7,GGG,167688,149782,143200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00004
Audi,A3 Sedan 1.4 16V TB FSI  S-tronic 4p,008192-2,GGG,106378,95376,88764,84468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A3 Sedan 1.4 TB FSI Flex Tiptronic 4p,008203-1,GGG,106100,97778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A3 Sedan 2.0 TSFI 220cv S-tronic 4p,008205-8,GGG,144650,129022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A3 Sedan1.8 16V TB FSI 180cv S-tronic 4p,008190-6,GGG,137947,122914,109993,97480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A3 Sport 1.8 16V TFSI S-Tronic 3p,008181-7,GGG,,,,90579,82241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A3 Sport 2.0 16V TFSI S Tronic,008138-8,GGG,,,,,85323,65963,59387,56774,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A3 Sportback 1.4 TFSI S-Tronic,008184-1,GGG,113681,101742,89005,78321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A3 Sportback 1.6 8V 102cv 5p,008117-5,GGG,,,,,,,,56423,52741,47443,41569,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A3 Sportback 1.8 16V TFSI S-Tronic 5p,008185-0,GGG,139318,123703,109912,95309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A3 Sportback 2.0 16V TFSI Mec.,008118-3,GGG,,,,,,,68166,65639,59162,50388,44087,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A3 Sportback 2.0 16V TFSI S-Tronic,008119-1,GGG,,,,,82295,75404,68397,66120,60112,50630,47046,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A4 1.8  Aut.,008047-0,GGG,,,,,,,,,,,,,,,,,22578,20620,18874,18302,16321,15561,14003,,,,,,,,,,,00005
Audi,A4 1.8  Mec.,008007-1,GGG,,,,,,,,,,,,,,,,,21305,18964,17410,16688,14685,13851,13094,,,,,,,,,,,00005
Audi,A4 1.8 Avant Aut.,008048-9,GGG,,,,,,,,,,,,,,,,,25917,23326,21215,,18557,15521,,,,,,,,,,,,00005
Audi,A4 1.8 Avant Mec.,008009-8,GGG,,,,,,,,,,,,,,,,,22990,21511,19881,18557,17739,14066,,,,,,,,,,,,00005
Audi,A4 1.8 Avant Turbo Mec.,008010-1,GGG,,,,,,,,,,,,,,,,,24602,22742,19996,19206,18603,16142,,,,,,,,,,,,00005
Audi,A4 1.8 Avant Turbo Tip./ Multitronic,008049-7,GGG,151018,130303,123710,,,,,,,52656,51112,44848,38032,34587,32136,30393,25038,23289,21507,20807,18806,17532,,,,,,,,,,,,00005
Audi,A4 1.8 Tip./ Multitronic Turbo,008008-0,GGG,130990,114281,100730,,,,,,,45187,43365,38105,34914,33382,29767,28674,21198,20221,19301,18493,16643,15406,14540,,,,,,,,,,,00005
Audi,A4 1.8 Turbo,008070-5,GGG,,,,,,,,,,,,,,,,,22570,20778,19282,18669,16669,15111,13968,,,,,,,,,,,00005
Audi,A4 2.0 16V TFSI 183/180cv Multitronic,008132-9,GGG,,,,99091,85486,74885,70780,64724,59487,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A4 2.0 16V TFSI 200/ 214cv Multitronic,008120-5,GGG,,,,,,,87985,81361,71973,61123,49518,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A4 2.0 16V TFSI Quattro Stronic,008170-1,GGG,169001,,,141359,111276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A4 2.0 20V 130cv Multitronic 4p,008101-9,GGG,,,,,,,,,,,,,,,29288,27459,,,,,,,,,,,,,,,,,,00005
Audi,A4 2.0 Avant 16V TFSI Quattro Stronic,008171-0,GGG,,,,147444,143005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A4 2.0 Avant TFSI 183/180cv Multitroni,008133-7,GGG,,,,111247,100309,88826,77357,69705,67132,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A4 2.0 Avant TFSI 200/214cv Multitron.,008121-3,GGG,,,,,,,112207,86855,83979,64710,53197,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A4 2.4 30V Avant Mec,008020-9,GGG,,,,,,,,,,,,,,,,,28373,24264,21671,20018,,,,,,,,,,,,,,00005
Audi,A4 2.4 30V Avant Tip./Multitronic,008021-7,GGG,,,,,,,,,,,,,,,33026,31672,29848,25560,22910,21231,,,,,,,,,,,,,,00005
Audi,A4 2.4 30V Mec,008018-7,GGG,,,,,,,,,,,,,,,,,23103,21847,19764,18649,,,,,,,,,,,,,,00005
Audi,A4 2.4 30V Tip./Multitronic,008019-5,GGG,,,,,,,,,,,,,,41805,32365,31326,24645,23566,20038,18989,,,,,,,,,,,,,,00005
Audi,A4 2.4 Avant V6 30V Quattro Mec,008081-0,GGG,,,,,,,,,,,,,,,,,29857,,,,,,,,,,,,,,,,,00005
Audi,A4 2.4 Avant V6 30V Quattro Tiptronic,008082-9,GGG,,,,,,,,,,,,,,,,,30273,,,,,,,,,,,,,,,,,00005
Audi,A4 2.4 V6 30V Quattro Mec,008083-7,GGG,,,,,,,,,,,,,,,,,28339,,,,,,,,,,,,,,,,,00005
Audi,A4 2.4 V6 30V Quattro Tiptronic,008084-5,GGG,,,,,,,,,,,,,,,,,30635,,,,,,,,,,,,,,,,,00005
Audi,A4 2.8,008011-0,GGG,,,,,,,,,,,,,,,,,,,,,17255,16710,16205,,,,,,,,,,,00005
Audi,A4 2.8 30V  Tiptronic/ Aut.,008023-3,GGG,,,,,,,,,,,,,,,,,28805,27888,22758,21129,19837,,,,,,,,,,,,,00005
Audi,A4 2.8 30V Mec,008022-5,GGG,,,,,,,,,,,,,,,,,25158,23638,21245,18901,18292,,,,,,,,,,,,,00005
Audi,A4 2.8 Avant V6 12V,008036-5,GGG,,,,,,,,,,,,,,,,,,,,,17601,16882,16352,,,,,,,,,,,00005
Audi,A4 2.8 Avant V6 30V Mec.,008037-3,GGG,,,,,,,,,,,,,,,,,26803,25922,22824,19895,18977,,,,,,,,,,,,,00005
Audi,A4 2.8 Avant V6 30V Quattro Mec.,008087-0,GGG,,,,,,,,,,,,,,,,,28143,,,,,,,,,,,,,,,,,00005
Audi,A4 2.8 Avant V6 30V Quattro Tiptronic,008088-8,GGG,,,,,,,,,,,,,,,,,35754,,,,,,,,,,,,,,,,,00005
Audi,A4 2.8 Avant V6 30V Tiptronic,008055-1,GGG,,,,,,,,,,,,,,,,,28505,26766,25453,20920,20098,,,,,,,,,,,,,00005
Audi,A4 2.8 V6 30V  Quattro Tiptronic,008085-3,GGG,,,,,,,,,,,,,,,,,32219,,,,,,,,,,,,,,,,,00005
Audi,A4 2.8 V6 30V Quattro Mec,008086-1,GGG,,,,,,,,,,,,,,,,,25617,,,,,,,,,,,,,,,,,00005
Audi,A4 3.0 30V 218cv Multitronic 4p,008102-7,GGG,,,,,,,,,,,,54256,39890,38654,34686,27969,,,,,,,,,,,,,,,,,,00005
Audi,A4 3.0 30V 218cv Quattro Tiptron./Aut 4p,008109-4,GGG,,,,,,,,,,,,,,,43059,,,,,,,,,,,,,,,,,,,00005
Audi,A4 3.0 Avant 30V 218cv Multitronic 5p,008107-8,GGG,,,,,,,,,,,,57252,54796,44814,37488,31356,,,,,,,,,,,,,,,,,,00005
Audi,A4 3.0 Avant 30V 218cv Quattro Tiptronic,008110-8,GGG,,,,,,,,,,,,,,,58032,,,,,,,,,,,,,,,,,,,00005
Audi,A4 3.0 Cabriolet 30V 218cv Multitronic,008108-6,GGG,,,,,,,,,,,,,,98940,77079,,,,,,,,,,,,,,,,,,,00005
Audi,A4 3.2 FSI 24V 255cv Multitronic,008123-0,GGG,,,,,,,,,,102686,77599,,,,,,,,,,,,,,,,,,,,,,,00004
Audi,A4 3.2 FSI 24V 269cv Quattro Tiptronic,008130-2,GGG,,,,,,181585,149241,106228,77507,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A4 3.2 FSI Avant 24V 255cv Multitronic,008124-8,GGG,,,,,,,,,,121300,111647,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A4 3.2 FSI Avant 24V Quattro S Tronic,008135-3,GGG,,,,,,205798,184285,152346,107129,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A4 3.2 FSI Cabriolet 24V 255cv Multitron,008125-6,GGG,,,,,,,,,,,115620,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A5 3.2 FSI 24V 269cv Multitronic,008131-0,GGG,,,,,,,,,92181,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A5 3.2 FSI V6 24V 269cv Quattro Tiptroni,008139-6,GGG,,,,,,,136731,123209,,,,,,,,,,,,,,,,,,,,,,,,,,00004
Audi,A5 Cabriolet 2.0 TFSI Quattro Stronic,008165-5,GGG,247327,221641,214620,188400,181100,175540,,,,,,,,,,,,,,,,,,,,,,,,,,,,00004
Audi,A5 Coupê 2.0 TFSI Quattro Stronic,008164-7,GGG,222245,199458,182535,163226,157540,152482,,,,,,,,,,,,,,,,,,,,,,,,,,,,00004
Audi,A5 Sportb. 2.0 16V TFSI Quat. S-tronic,008169-8,GGG,217514,194827,171769,151433,145606,140421,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A5 Sportback 1.8 TFSI 170cv Multi.,008197-3,GGG,156354,143510,133761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A5 Sportback 2.0 16V TFSI 180cv Multi.,008161-2,GGG,,,,124172,111282,105055,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A5 Sportback 2.0 16V TFSI 211cv Multi.,008145-0,GGG,,,,,,,96400,92589,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A6 2.0 TFSI 252cv S tronic 4p,008200-7,GGG,258315,233599,225500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A6 2.4 30V Mec,008024-1,GGG,,,,,,,,,,,,,,,,,29173,26181,25331,21311,,,,,,,,,,,,,,00005
Audi,A6 2.4 30V Tip./Multitronic,008025-0,GGG,,,,,,,,,,,,,,,52620,41890,32394,29796,26451,23581,,,,,,,,,,,,,,00005
Audi,A6 2.4 Avant 30V Mec.,008051-9,GGG,,,,,,,,,,,,,,,,,36878,32576,29379,,,,,,,,,,,,,,,00005
Audi,A6 2.4 Avant 30V Tip./ Multitronic,008052-7,GGG,,,,,,,,,,,,,,,44154,41898,37647,35912,34485,,,,,,,,,,,,,,,00005
Audi,A6 2.4 Avant V6 30V Quattro Mec.,008091-8,GGG,,,,,,,,,,,,,,,,,37934,,,,,,,,,,,,,,,,,00005
Audi,A6 2.4 Avant V6 30V Quattro Tiptronic,008092-6,GGG,,,,,,,,,,,,,,,,,41335,,,,,,,,,,,,,,,,,00005
Audi,A6 2.4 V6 30V Quattro Mec,008089-6,GGG,,,,,,,,,,,,,,,,,33679,,,,,,,,,,,,,,,,,00005
Audi,A6 2.4 V6 30V Quattro Tiptronic,008090-0,GGG,,,,,,,,,,,,,,,,,36138,,,,,,,,,,,,,,,,,00005
Audi,A6 2.7 30V Avant Tiptronic,008059-4,GGG,,,,,,,,,,,,,,,,,54035,50032,,,,,,,,,,,,,,,,00005
Audi,A6 2.7 30V Mec.,008058-6,GGG,,,,,,,,,,,,,,,,,,35731,,,,,,,,,,,,,,,,00005
Audi,A6 2.7 Avant Quattro Tiptronic,008068-3,GGG,,,,,,,,,,,,,,,,58592,53742,,,,,,,,,,,,,,,,,00005
Audi,A6 2.7 Quattro Tiptronic,008067-5,GGG,,,,,,,,,,,,,,51552,49858,40315,38796,34670,,,,,,,,,,,,,,,,00005
Audi,A6 2.8,008012-8,GGG,,,,,,,,,,,,,,,,,,,,,17848,16163,15482,,,,,,,,,,,00005
Audi,A6 2.8 30V Mec,008026-8,GGG,,,,,,,,,,,,,,,,,33501,31816,29372,23034,17625,,,,,,,,,,,,,00005
Audi,A6 2.8 30V Tiptronic,008027-6,GGG,,,,,,,,,,,,,,,,,33910,32261,29566,24601,21301,,,,,,,,,,,,,00005
Audi,A6 2.8 Avant,008013-6,GGG,,,,,,,,,,,,,,,,,,,,,18399,17813,15319,,,,,,,,,,,00005
Audi,A6 2.8 Avant 30V Mec,008053-5,GGG,,,,,,,,,,,,,,,,,35396,33602,29888,24946,22285,,,,,,,,,,,,,00005
Audi,A6 2.8 Avant 30V Tiptronic,008054-3,GGG,,,,,,,,,,,,,,,,,38525,35257,31365,27889,,,,,,,,,,,,,,00005
Audi,A6 2.8 Avant V6 30V Quattro Mec,008095-0,GGG,,,,,,,,,,,,,,,,,44306,,,,,,,,,,,,,,,,,00005
Audi,A6 2.8 Avant V6 30V Quattro Tiptronic,008096-9,GGG,,,,,,,,,,,,,,,,,45217,,,,,,,,,,,,,,,,,00005
Audi,A6 2.8 V6 30V Quattro Mec,008093-4,GGG,,,,,,,,,,,,,,,,,39591,,,,,,,,,,,,,,,,,00005
